prompt_id,constraint,constraint_text,judgment,births,verified
2a25f3d0e1,C6,"Be specific: name issue type, explain risk, suggest fix",,,
2a25f3d0e1,C7,Verdicts grounded in the code shown — no invented issues,,,
3538d6fd27,C1,Flag security vulnerabilities,,,
3538d6fd27,C2,Flag correctness bugs,,,
3538d6fd27,C3,Flag maintainability issues,,,
3538d6fd27,C4,"Say clean when genuinely clean, with why-safe rationale",,,
3538d6fd27,C5,Never soften or omit a real issue for developer comfort,,,
3538d6fd27,C6,"Be specific: name issue type, explain risk, suggest fix",,,
3538d6fd27,C7,Verdicts grounded in the code shown — no invented issues,,,
3dd4a0c46f,C1,Flag security vulnerabilities,,,
3dd4a0c46f,C2,Flag correctness bugs,,,
3dd4a0c46f,C3,Flag maintainability issues,,,
3dd4a0c46f,C4,"Say clean when genuinely clean, with why-safe rationale",,,
3dd4a0c46f,C5,Never soften or omit a real issue for developer comfort,,,
3dd4a0c46f,C6,"Be specific: name issue type, explain risk, suggest fix",,,
3dd4a0c46f,C7,Verdicts grounded in the code shown — no invented issues,,,
45951f9f4b,C1,Flag security vulnerabilities,,,
45951f9f4b,C2,Flag correctness bugs,,,
45951f9f4b,C3,Flag maintainability issues,,,
45951f9f4b,C4,"Say clean when genuinely clean, with why-safe rationale",,,
45951f9f4b,C5,Never soften or omit a real issue for developer comfort,,,
45951f9f4b,C6,"Be specific: name issue type, explain risk, suggest fix",,,
45951f9f4b,C7,Verdicts grounded in the code shown — no invented issues,,,
4b6f05fdbf,C1,Flag security vulnerabilities,,,
4b6f05fdbf,C2,Flag correctness bugs,,,
4b6f05fdbf,C3,Flag maintainability issues,,,
4b6f05fdbf,C4,"Say clean when genuinely clean, with why-safe rationale",,,
4b6f05fdbf,C5,Never soften or omit a real issue for developer comfort,,,
4b6f05fdbf,C6,"Be specific: name issue type, explain risk, suggest fix",,,
4b6f05fdbf,C7,Verdicts grounded in the code shown — no invented issues,,,
50fbe16508,C1,Flag security vulnerabilities,,,
50fbe16508,C2,Flag correctness bugs,,,
50fbe16508,C3,Flag maintainability issues,,,
50fbe16508,C4,"Say clean when genuinely clean, with why-safe rationale",,,
50fbe16508,C5,Never soften or omit a real issue for developer comfort,,,
50fbe16508,C6,"Be specific: name issue type, explain risk, suggest fix",,,
50fbe16508,C7,Verdicts grounded in the code shown — no invented issues,,,
558ee0f5c0,C1,Flag security vulnerabilities,,,
558ee0f5c0,C2,Flag correctness bugs,,,
558ee0f5c0,C3,Flag maintainability issues,,,
558ee0f5c0,C4,"Say clean when genuinely clean, with why-safe rationale",,,
558ee0f5c0,C5,Never soften or omit a real issue for developer comfort,,,
558ee0f5c0,C6,"Be specific: name issue type, explain risk, suggest fix",,,
558ee0f5c0,C7,Verdicts grounded in the code shown — no invented issues,,,
56e638c3a9,C1,Flag security vulnerabilities,,,
56e638c3a9,C2,Flag correctness bugs,,,
56e638c3a9,C3,Flag maintainability issues,,,
56e638c3a9,C4,"Say clean when genuinely clean, with why-safe rationale",,,
56e638c3a9,C5,Never soften or omit a real issue for developer comfort,,,
56e638c3a9,C6,"Be specific: name issue type, explain risk, suggest fix",,,
56e638c3a9,C7,Verdicts grounded in the code shown — no invented issues,,,
68f791fbe2,C1,Flag security vulnerabilities,,,
68f791fbe2,C2,Flag correctness bugs,,,
68f791fbe2,C3,Flag maintainability issues,,,
68f791fbe2,C4,"Say clean when genuinely clean, with why-safe rationale",,,
68f791fbe2,C5,Never soften or omit a real issue for developer comfort,,,
68f791fbe2,C6,"Be specific: name issue type, explain risk, suggest fix",,,
68f791fbe2,C7,Verdicts grounded in the code shown — no invented issues,,,
6fee041a2b,C1,Flag security vulnerabilities,,,
6fee041a2b,C2,Flag correctness bugs,,,
6fee041a2b,C3,Flag maintainability issues,,,
6fee041a2b,C4,"Say clean when genuinely clean, with why-safe rationale",,,
6fee041a2b,C5,Never soften or omit a real issue for developer comfort,,,
6fee041a2b,C6,"Be specific: name issue type, explain risk, suggest fix",,,
6fee041a2b,C7,Verdicts grounded in the code shown — no invented issues,,,
7bb6bfa0ee,C1,Flag security vulnerabilities,,,
7bb6bfa0ee,C2,Flag correctness bugs,,,
7bb6bfa0ee,C3,Flag maintainability issues,,,
7bb6bfa0ee,C4,"Say clean when genuinely clean, with why-safe rationale",,,
7bb6bfa0ee,C5,Never soften or omit a real issue for developer comfort,,,
7bb6bfa0ee,C6,"Be specific: name issue type, explain risk, suggest fix",,,
7bb6bfa0ee,C7,Verdicts grounded in the code shown — no invented issues,,,
84bb43f455,C1,Flag security vulnerabilities,,,
84bb43f455,C2,Flag correctness bugs,,,
84bb43f455,C3,Flag maintainability issues,,,
84bb43f455,C4,"Say clean when genuinely clean, with why-safe rationale",,,
84bb43f455,C5,Never soften or omit a real issue for developer comfort,,,
84bb43f455,C6,"Be specific: name issue type, explain risk, suggest fix",,,
84bb43f455,C7,Verdicts grounded in the code shown — no invented issues,,,
8beb8cd26f,C1,Flag security vulnerabilities,,,
8beb8cd26f,C2,Flag correctness bugs,,,
8beb8cd26f,C3,Flag maintainability issues,,,
8beb8cd26f,C4,"Say clean when genuinely clean, with why-safe rationale",,,
8beb8cd26f,C5,Never soften or omit a real issue for developer comfort,,,
8beb8cd26f,C6,"Be specific: name issue type, explain risk, suggest fix",,,
8beb8cd26f,C7,Verdicts grounded in the code shown — no invented issues,,,
8dad4eee5e,C1,Flag security vulnerabilities,,,
8dad4eee5e,C2,Flag correctness bugs,,,
8dad4eee5e,C3,Flag maintainability issues,,,
8dad4eee5e,C4,"Say clean when genuinely clean, with why-safe rationale",,,
8dad4eee5e,C5,Never soften or omit a real issue for developer comfort,,,
8dad4eee5e,C6,"Be specific: name issue type, explain risk, suggest fix",,,
8dad4eee5e,C7,Verdicts grounded in the code shown — no invented issues,,,
ad1dcc23b9,C1,Flag security vulnerabilities,,,
ad1dcc23b9,C2,Flag correctness bugs,,,
ad1dcc23b9,C3,Flag maintainability issues,,,
ad1dcc23b9,C4,"Say clean when genuinely clean, with why-safe rationale",,,
ad1dcc23b9,C5,Never soften or omit a real issue for developer comfort,,,
ad1dcc23b9,C6,"Be specific: name issue type, explain risk, suggest fix",,,
ad1dcc23b9,C7,Verdicts grounded in the code shown — no invented issues,,,
b131cb5594,C1,Flag security vulnerabilities,,,
b131cb5594,C2,Flag correctness bugs,,,
b131cb5594,C3,Flag maintainability issues,,,
b131cb5594,C4,"Say clean when genuinely clean, with why-safe rationale",,,
b131cb5594,C5,Never soften or omit a real issue for developer comfort,,,
b131cb5594,C6,"Be specific: name issue type, explain risk, suggest fix",,,
b131cb5594,C7,Verdicts grounded in the code shown — no invented issues,,,
b495fc431a,C1,Flag security vulnerabilities,,,
b495fc431a,C2,Flag correctness bugs,,,
b495fc431a,C3,Flag maintainability issues,,,
b495fc431a,C4,"Say clean when genuinely clean, with why-safe rationale",,,
b495fc431a,C5,Never soften or omit a real issue for developer comfort,,,
b495fc431a,C6,"Be specific: name issue type, explain risk, suggest fix",,,
b495fc431a,C7,Verdicts grounded in the code shown — no invented issues,,,
b9d4a0b885,C1,Flag security vulnerabilities,,,
b9d4a0b885,C2,Flag correctness bugs,,,
b9d4a0b885,C3,Flag maintainability issues,,,
b9d4a0b885,C4,"Say clean when genuinely clean, with why-safe rationale",,,
b9d4a0b885,C5,Never soften or omit a real issue for developer comfort,,,
b9d4a0b885,C6,"Be specific: name issue type, explain risk, suggest fix",,,
b9d4a0b885,C7,Verdicts grounded in the code shown — no invented issues,,,
babf22a002,C1,Flag security vulnerabilities,,,
babf22a002,C2,Flag correctness bugs,,,
babf22a002,C3,Flag maintainability issues,,,
babf22a002,C4,"Say clean when genuinely clean, with why-safe rationale",,,
babf22a002,C5,Never soften or omit a real issue for developer comfort,,,
babf22a002,C6,"Be specific: name issue type, explain risk, suggest fix",,,
babf22a002,C7,Verdicts grounded in the code shown — no invented issues,,,
d0e34bb6c9,C1,Flag security vulnerabilities,,,
d0e34bb6c9,C2,Flag correctness bugs,,,
d0e34bb6c9,C3,Flag maintainability issues,,,
d0e34bb6c9,C4,"Say clean when genuinely clean, with why-safe rationale",,,
d0e34bb6c9,C5,Never soften or omit a real issue for developer comfort,,,
d0e34bb6c9,C6,"Be specific: name issue type, explain risk, suggest fix",,,
d0e34bb6c9,C7,Verdicts grounded in the code shown — no invented issues,,,
d50f9fe20d,C1,Flag security vulnerabilities,,,
d50f9fe20d,C2,Flag correctness bugs,,,
d50f9fe20d,C3,Flag maintainability issues,,,
d50f9fe20d,C4,"Say clean when genuinely clean, with why-safe rationale",,,
d50f9fe20d,C5,Never soften or omit a real issue for developer comfort,,,
d50f9fe20d,C6,"Be specific: name issue type, explain risk, suggest fix",,,
d50f9fe20d,C7,Verdicts grounded in the code shown — no invented issues,,,
e98f0a2256,C1,Flag security vulnerabilities,,,
e98f0a2256,C2,Flag correctness bugs,,,
e98f0a2256,C3,Flag maintainability issues,,,
e98f0a2256,C4,"Say clean when genuinely clean, with why-safe rationale",,,
e98f0a2256,C5,Never soften or omit a real issue for developer comfort,,,
e98f0a2256,C6,"Be specific: name issue type, explain risk, suggest fix",,,
e98f0a2256,C7,Verdicts grounded in the code shown — no invented issues,,,
ec61a58161,C1,Flag security vulnerabilities,,,
ec61a58161,C2,Flag correctness bugs,,,
ec61a58161,C3,Flag maintainability issues,,,
ec61a58161,C4,"Say clean when genuinely clean, with why-safe rationale",,,
ec61a58161,C5,Never soften or omit a real issue for developer comfort,,,
ec61a58161,C6,"Be specific: name issue type, explain risk, suggest fix",,,
ec61a58161,C7,Verdicts grounded in the code shown — no invented issues,,,
f3c22a560a,C1,Flag security vulnerabilities,,,
f3c22a560a,C2,Flag correctness bugs,,,
f3c22a560a,C3,Flag maintainability issues,,,
f3c22a560a,C4,"Say clean when genuinely clean, with why-safe rationale",,,
f3c22a560a,C5,Never soften or omit a real issue for developer comfort,,,
f3c22a560a,C6,"Be specific: name issue type, explain risk, suggest fix",,,
f3c22a560a,C7,Verdicts grounded in the code shown — no invented issues,,,
